quiz_id,question,options,answer,points
45,"If I order 1 pizzas and eat half of one, how many pizzas do I have left (not counting regret)?",5 cars; 70 socks; Gravity goes on vacation; Regret is not measurable,70 socks,0.333
46,"If I put 2 socks in the dryer and only 10 come out, how many socks are lost in Narnia?",3 cars; 50 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,0.333
46,"If I go to the mall with $4 to buy a car that costs $18, how many cars do I come back with?",1 cars; 100 socks; Gravity goes on vacation; Regret is not measurable,100 socks,0.05
46,"If I put 7 socks in the dryer and only 20 come out, how many socks are lost in Narnia?",4 cars; 50 socks; Gravity goes on vacation; Regret is not measurable,4 cars,1.0
47,"If I order 6 pizzas and eat half of one, how many pizzas do I have left (not counting regret)?",1 cars; 94 socks; Gravity goes on vacation; Regret is not measurable,94 socks,1.0
47,"If I put 6 socks in the dryer and only 19 come out, how many socks are lost in Narnia?",4 cars; 32 socks; Gravity goes on vacation; Regret is not measurable,32 socks,1.0
47,"If I order 8 pizzas and eat half of one, how many pizzas do I have left (not counting regret)?",3 cars; 26 socks; Gravity goes on vacation; Regret is not measurable,Gravity goes on vacation,1.0
48,"In 1256, something very important happened. How many of us remember it correctly?",1 cars; 44 socks; Gravity goes on vacation; Regret is not measurable,1 cars,0.333
48,"If the Earth took a coffee break for 8 hours, what would happen to gravity?",1 cars; 19 socks; Gravity goes on vacation; Regret is not measurable,1 cars,0.05
48,"If I go to the mall with $7 to buy a car that costs $11, how many cars do I come back with?",3 cars; 82 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,0.25
49,"If I go to the mall with $5 to buy a car that costs $14, how many cars do I come back with?",0 cars; 83 socks; Gravity goes on vacation; Regret is not measurable,Gravity goes on vacation,1.0
49,"If I order 8 pizzas and eat half of one, how many pizzas do I have left (not counting regret)?",3 cars; 43 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,0.25
49,"In 1455, something very important happened. How many of us remember it correctly?",1 cars; 71 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,0.05
50,"If I order 1 pizzas and eat half of one, how many pizzas do I have left (not counting regret)?",1 cars; 91 socks; Gravity goes on vacation; Regret is not measurable,Gravity goes on vacation,0.5
50,"If I put 4 socks in the dryer and only 19 come out, how many socks are lost in Narnia?",0 cars; 42 socks; Gravity goes on vacation; Regret is not measurable,Gravity goes on vacation,1.0
50,"In 1956, something very important happened. How many of us remember it correctly?",0 cars; 21 socks; Gravity goes on vacation; Regret is not measurable,0 cars,0.333
51,"If I order 8 pizzas and eat half of one, how many pizzas do I have left (not counting regret)?",5 cars; 84 socks; Gravity goes on vacation; Regret is not measurable,5 cars,0.05
51,"In 1906, something very important happened. How many of us remember it correctly?",0 cars; 82 socks; Gravity goes on vacation; Regret is not measurable,Gravity goes on vacation,0.25
51,"If I put 6 socks in the dryer and only 5 come out, how many socks are lost in Narnia?",2 cars; 62 socks; Gravity goes on vacation; Regret is not measurable,2 cars,1.0
52,"If I order 2 pizzas and eat half of one, how many pizzas do I have left (not counting regret)?",4 cars; 36 socks; Gravity goes on vacation; Regret is not measurable,4 cars,0.5
52,"If I put 1 socks in the dryer and only 7 come out, how many socks are lost in Narnia?",0 cars; 44 socks; Gravity goes on vacation; Regret is not measurable,0 cars,0.25
52,"If I put 4 socks in the dryer and only 18 come out, how many socks are lost in Narnia?",0 cars; 77 socks; Gravity goes on vacation; Regret is not measurable,0 cars,0.05
53,"If the Earth took a coffee break for 8 hours, what would happen to gravity?",1 cars; 60 socks; Gravity goes on vacation; Regret is not measurable,60 socks,0.05
53,"If the Earth took a coffee break for 2 hours, what would happen to gravity?",4 cars; 31 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,0.05
53,"If the Earth took a coffee break for 2 hours, what would happen to gravity?",4 cars; 33 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,0.05
54,"If the Earth took a coffee break for 1 hours, what would happen to gravity?",4 cars; 60 socks; Gravity goes on vacation; Regret is not measurable,Gravity goes on vacation,0.333
54,"If I order 2 pizzas and eat half of one, how many pizzas do I have left (not counting regret)?",1 cars; 47 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,1.0
54,"In 1968, something very important happened. How many of us remember it correctly?",0 cars; 99 socks; Gravity goes on vacation; Regret is not measurable,99 socks,0.05
55,"If I go to the mall with $9 to buy a car that costs $12, how many cars do I come back with?",2 cars; 30 socks; Gravity goes on vacation; Regret is not measurable,30 socks,0.25
55,"If I go to the mall with $5 to buy a car that costs $17, how many cars do I come back with?",0 cars; 51 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,0.333
55,"If I put 7 socks in the dryer and only 16 come out, how many socks are lost in Narnia?",3 cars; 56 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,1.0
56,"If I order 9 pizzas and eat half of one, how many pizzas do I have left (not counting regret)?",4 cars; 57 socks; Gravity goes on vacation; Regret is not measurable,Gravity goes on vacation,0.333
56,"If the Earth took a coffee break for 5 hours, what would happen to gravity?",3 cars; 15 socks; Gravity goes on vacation; Regret is not measurable,15 socks,0.333
56,"In 1628, something very important happened. How many of us remember it correctly?",4 cars; 55 socks; Gravity goes on vacation; Regret is not measurable,4 cars,0.05
57,"If I order 8 pizzas and eat half of one, how many pizzas do I have left (not counting regret)?",3 cars; 47 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,0.25
57,"In 1455, something very important happened. How many of us remember it correctly?",3 cars; 46 socks; Gravity goes on vacation; Regret is not measurable,3 cars,1.0
57,"If I put 5 socks in the dryer and only 8 come out, how many socks are lost in Narnia?",3 cars; 18 socks; Gravity goes on vacation; Regret is not measurable,18 socks,1.0
58,"If the Earth took a coffee break for 5 hours, what would happen to gravity?",4 cars; 77 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,0.05
58,"If I order 7 pizzas and eat half of one, how many pizzas do I have left (not counting regret)?",2 cars; 59 socks; Gravity goes on vacation; Regret is not measurable,Gravity goes on vacation,0.05
58,"If the Earth took a coffee break for 3 hours, what would happen to gravity?",3 cars; 70 socks; Gravity goes on vacation; Regret is not measurable,3 cars,0.05
59,"If the Earth took a coffee break for 2 hours, what would happen to gravity?",1 cars; 10 socks; Gravity goes on vacation; Regret is not measurable,Gravity goes on vacation,0.25
59,"In 1560, something very important happened. How many of us remember it correctly?",0 cars; 21 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,0.333
59,"If I go to the mall with $6 to buy a car that costs $8, how many cars do I come back with?",0 cars; 94 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,0.5
60,"If the Earth took a coffee break for 5 hours, what would happen to gravity?",3 cars; 82 socks; Gravity goes on vacation; Regret is not measurable,82 socks,1.0
60,"In 1516, something very important happened. How many of us remember it correctly?",1 cars; 91 socks; Gravity goes on vacation; Regret is not measurable,Gravity goes on vacation,0.333
60,"If I put 8 socks in the dryer and only 18 come out, how many socks are lost in Narnia?",1 cars; 16 socks; Gravity goes on vacation; Regret is not measurable,1 cars,1.0
61,"In 1658, something very important happened. How many of us remember it correctly?",2 cars; 56 socks; Gravity goes on vacation; Regret is not measurable,56 socks,0.05
61,"In 1883, something very important happened. How many of us remember it correctly?",0 cars; 79 socks; Gravity goes on vacation; Regret is not measurable,0 cars,0.05
61,"If I order 1 pizzas and eat half of one, how many pizzas do I have left (not counting regret)?",4 cars; 69 socks; Gravity goes on vacation; Regret is not measurable,Gravity goes on vacation,0.05
62,"If I order 10 pizzas and eat half of one, how many pizzas do I have left (not counting regret)?",1 cars; 95 socks; Gravity goes on vacation; Regret is not measurable,95 socks,0.333
62,"If the Earth took a coffee break for 2 hours, what would happen to gravity?",4 cars; 81 socks; Gravity goes on vacation; Regret is not measurable,Gravity goes on vacation,0.05
62,"In 1952, something very important happened. How many of us remember it correctly?",4 cars; 38 socks; Gravity goes on vacation; Regret is not measurable,38 socks,0.333
63,"If I put 2 socks in the dryer and only 9 come out, how many socks are lost in Narnia?",0 cars; 46 socks; Gravity goes on vacation; Regret is not measurable,Gravity goes on vacation,0.25
63,"If I put 9 socks in the dryer and only 17 come out, how many socks are lost in Narnia?",4 cars; 92 socks; Gravity goes on vacation; Regret is not measurable,92 socks,1.0
63,"If I go to the mall with $5 to buy a car that costs $13, how many cars do I come back with?",3 cars; 41 socks; Gravity goes on vacation; Regret is not measurable,Gravity goes on vacation,0.333
64,"If the Earth took a coffee break for 10 hours, what would happen to gravity?",3 cars; 91 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,1.0
64,"If I go to the mall with $3 to buy a car that costs $7, how many cars do I come back with?",4 cars; 91 socks; Gravity goes on vacation; Regret is not measurable,4 cars,1.0
64,"If the Earth took a coffee break for 5 hours, what would happen to gravity?",4 cars; 32 socks; Gravity goes on vacation; Regret is not measurable,Gravity goes on vacation,0.333
65,"If I go to the mall with $8 to buy a car that costs $17, how many cars do I come back with?",5 cars; 34 socks; Gravity goes on vacation; Regret is not measurable,Gravity goes on vacation,1.0
65,"If I order 5 pizzas and eat half of one, how many pizzas do I have left (not counting regret)?",4 cars; 69 socks; Gravity goes on vacation; Regret is not measurable,69 socks,0.333
65,"If the Earth took a coffee break for 2 hours, what would happen to gravity?",5 cars; 87 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,1.0
66,"If I order 7 pizzas and eat half of one, how many pizzas do I have left (not counting regret)?",4 cars; 70 socks; Gravity goes on vacation; Regret is not measurable,Gravity goes on vacation,1.0
66,"If the Earth took a coffee break for 8 hours, what would happen to gravity?",4 cars; 72 socks; Gravity goes on vacation; Regret is not measurable,72 socks,0.5
66,"If I go to the mall with $8 to buy a car that costs $6, how many cars do I come back with?",3 cars; 41 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,0.25
67,"If I go to the mall with $6 to buy a car that costs $11, how many cars do I come back with?",5 cars; 65 socks; Gravity goes on vacation; Regret is not measurable,5 cars,1.0
67,"If the Earth took a coffee break for 9 hours, what would happen to gravity?",1 cars; 41 socks; Gravity goes on vacation; Regret is not measurable,Gravity goes on vacation,0.333
67,"In 1471, something very important happened. How many of us remember it correctly?",2 cars; 57 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,0.333
68,"In 1999, something very important happened. How many of us remember it correctly?",2 cars; 90 socks; Gravity goes on vacation; Regret is not measurable,90 socks,0.333
68,"If I go to the mall with $1 to buy a car that costs $20, how many cars do I come back with?",0 cars; 72 socks; Gravity goes on vacation; Regret is not measurable,0 cars,0.5
68,"In 1604, something very important happened. How many of us remember it correctly?",5 cars; 86 socks; Gravity goes on vacation; Regret is not measurable,86 socks,0.05
69,"If the Earth took a coffee break for 1 hours, what would happen to gravity?",4 cars; 80 socks; Gravity goes on vacation; Regret is not measurable,Gravity goes on vacation,1.0
69,"If I order 4 pizzas and eat half of one, how many pizzas do I have left (not counting regret)?",3 cars; 70 socks; Gravity goes on vacation; Regret is not measurable,Gravity goes on vacation,1.0
69,"If I order 10 pizzas and eat half of one, how many pizzas do I have left (not counting regret)?",1 cars; 97 socks; Gravity goes on vacation; Regret is not measurable,Gravity goes on vacation,0.333
70,"In 1580, something very important happened. How many of us remember it correctly?",3 cars; 99 socks; Gravity goes on vacation; Regret is not measurable,Gravity goes on vacation,0.5
70,"In 1922, something very important happened. How many of us remember it correctly?",2 cars; 73 socks; Gravity goes on vacation; Regret is not measurable,73 socks,0.25
70,"In 1635, something very important happened. How many of us remember it correctly?",3 cars; 84 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,0.5
71,"In 1426, something very important happened. How many of us remember it correctly?",2 cars; 65 socks; Gravity goes on vacation; Regret is not measurable,Gravity goes on vacation,0.5
71,"If I put 4 socks in the dryer and only 14 come out, how many socks are lost in Narnia?",2 cars; 32 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,0.333
71,"If I put 8 socks in the dryer and only 16 come out, how many socks are lost in Narnia?",3 cars; 24 socks; Gravity goes on vacation; Regret is not measurable,24 socks,0.333
72,"In 1274, something very important happened. How many of us remember it correctly?",4 cars; 26 socks; Gravity goes on vacation; Regret is not measurable,Gravity goes on vacation,0.05
72,"In 1555, something very important happened. How many of us remember it correctly?",0 cars; 16 socks; Gravity goes on vacation; Regret is not measurable,Gravity goes on vacation,0.25
72,"In 1295, something very important happened. How many of us remember it correctly?",0 cars; 25 socks; Gravity goes on vacation; Regret is not measurable,25 socks,1.0
73,"If I go to the mall with $7 to buy a car that costs $8, how many cars do I come back with?",5 cars; 96 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,1.0
73,"If I put 7 socks in the dryer and only 16 come out, how many socks are lost in Narnia?",3 cars; 17 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,0.05
73,"If the Earth took a coffee break for 8 hours, what would happen to gravity?",2 cars; 95 socks; Gravity goes on vacation; Regret is not measurable,2 cars,0.5
74,"If I go to the mall with $4 to buy a car that costs $15, how many cars do I come back with?",2 cars; 11 socks; Gravity goes on vacation; Regret is not measurable,Gravity goes on vacation,1.0
74,"In 1762, something very important happened. How many of us remember it correctly?",1 cars; 48 socks; Gravity goes on vacation; Regret is not measurable,Gravity goes on vacation,0.333
74,"If I put 8 socks in the dryer and only 19 come out, how many socks are lost in Narnia?",4 cars; 17 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,0.5
75,"In 1781, something very important happened. How many of us remember it correctly?",3 cars; 51 socks; Gravity goes on vacation; Regret is not measurable,51 socks,0.05
75,"If I order 7 pizzas and eat half of one, how many pizzas do I have left (not counting regret)?",0 cars; 89 socks; Gravity goes on vacation; Regret is not measurable,0 cars,0.25
75,"If I order 9 pizzas and eat half of one, how many pizzas do I have left (not counting regret)?",3 cars; 40 socks; Gravity goes on vacation; Regret is not measurable,40 socks,1.0
76,"In 1779, something very important happened. How many of us remember it correctly?",1 cars; 62 socks; Gravity goes on vacation; Regret is not measurable,1 cars,0.25
76,"If I put 6 socks in the dryer and only 17 come out, how many socks are lost in Narnia?",2 cars; 72 socks; Gravity goes on vacation; Regret is not measurable,2 cars,0.25
76,"In 1953, something very important happened. How many of us remember it correctly?",1 cars; 62 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,0.05
77,"If I go to the mall with $5 to buy a car that costs $8, how many cars do I come back with?",0 cars; 20 socks; Gravity goes on vacation; Regret is not measurable,Gravity goes on vacation,1.0
77,"If I order 7 pizzas and eat half of one, how many pizzas do I have left (not counting regret)?",0 cars; 50 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,0.5
77,"If I order 4 pizzas and eat half of one, how many pizzas do I have left (not counting regret)?",2 cars; 72 socks; Gravity goes on vacation; Regret is not measurable,2 cars,0.05
78,"If I put 2 socks in the dryer and only 6 come out, how many socks are lost in Narnia?",4 cars; 23 socks; Gravity goes on vacation; Regret is not measurable,4 cars,0.25
78,"If the Earth took a coffee break for 6 hours, what would happen to gravity?",3 cars; 66 socks; Gravity goes on vacation; Regret is not measurable,3 cars,0.333
78,"If I order 2 pizzas and eat half of one, how many pizzas do I have left (not counting regret)?",0 cars; 13 socks; Gravity goes on vacation; Regret is not measurable,13 socks,0.25
79,"If I order 1 pizzas and eat half of one, how many pizzas do I have left (not counting regret)?",4 cars; 21 socks; Gravity goes on vacation; Regret is not measurable,4 cars,0.5
79,"If I order 5 pizzas and eat half of one, how many pizzas do I have left (not counting regret)?",3 cars; 53 socks; Gravity goes on vacation; Regret is not measurable,Gravity goes on vacation,0.25
79,"If the Earth took a coffee break for 4 hours, what would happen to gravity?",2 cars; 58 socks; Gravity goes on vacation; Regret is not measurable,2 cars,0.05
80,"In 1374, something very important happened. How many of us remember it correctly?",0 cars; 84 socks; Gravity goes on vacation; Regret is not measurable,0 cars,0.25
80,"If the Earth took a coffee break for 3 hours, what would happen to gravity?",5 cars; 97 socks; Gravity goes on vacation; Regret is not measurable,97 socks,0.25
80,"If I go to the mall with $3 to buy a car that costs $7, how many cars do I come back with?",5 cars; 57 socks; Gravity goes on vacation; Regret is not measurable,57 socks,0.5
81,"If I go to the mall with $4 to buy a car that costs $6, how many cars do I come back with?",5 cars; 22 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,0.05
81,"If I go to the mall with $5 to buy a car that costs $12, how many cars do I come back with?",1 cars; 58 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,0.5
81,"In 1617, something very important happened. How many of us remember it correctly?",0 cars; 13 socks; Gravity goes on vacation; Regret is not measurable,13 socks,0.05
82,"In 1850, something very important happened. How many of us remember it correctly?",3 cars; 77 socks; Gravity goes on vacation; Regret is not measurable,3 cars,0.5
82,"If I go to the mall with $9 to buy a car that costs $16, how many cars do I come back with?",4 cars; 11 socks; Gravity goes on vacation; Regret is not measurable,4 cars,0.25
82,"If I put 8 socks in the dryer and only 6 come out, how many socks are lost in Narnia?",2 cars; 39 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,0.5
83,"If I go to the mall with $5 to buy a car that costs $19, how many cars do I come back with?",5 cars; 19 socks; Gravity goes on vacation; Regret is not measurable,5 cars,1.0
83,"In 1948, something very important happened. How many of us remember it correctly?",3 cars; 18 socks; Gravity goes on vacation; Regret is not measurable,18 socks,0.5
83,"In 1521, something very important happened. How many of us remember it correctly?",0 cars; 92 socks; Gravity goes on vacation; Regret is not measurable,92 socks,0.333
84,"If I order 3 pizzas and eat half of one, how many pizzas do I have left (not counting regret)?",0 cars; 61 socks; Gravity goes on vacation; Regret is not measurable,61 socks,0.25
84,"If the Earth took a coffee break for 7 hours, what would happen to gravity?",2 cars; 54 socks; Gravity goes on vacation; Regret is not measurable,54 socks,0.5
84,"In 1755, something very important happened. How many of us remember it correctly?",4 cars; 66 socks; Gravity goes on vacation; Regret is not measurable,66 socks,0.05
85,"If the Earth took a coffee break for 5 hours, what would happen to gravity?",3 cars; 86 socks; Gravity goes on vacation; Regret is not measurable,3 cars,0.25
85,"In 1521, something very important happened. How many of us remember it correctly?",2 cars; 21 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,0.333
85,"If I order 6 pizzas and eat half of one, how many pizzas do I have left (not counting regret)?",4 cars; 85 socks; Gravity goes on vacation; Regret is not measurable,85 socks,0.25
86,"In 1508, something very important happened. How many of us remember it correctly?",3 cars; 17 socks; Gravity goes on vacation; Regret is not measurable,3 cars,1.0
86,"If I go to the mall with $4 to buy a car that costs $5, how many cars do I come back with?",0 cars; 75 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,0.05
86,"If I order 4 pizzas and eat half of one, how many pizzas do I have left (not counting regret)?",2 cars; 25 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,0.5
87,"If I put 8 socks in the dryer and only 6 come out, how many socks are lost in Narnia?",5 cars; 15 socks; Gravity goes on vacation; Regret is not measurable,15 socks,0.5
87,"In 1376, something very important happened. How many of us remember it correctly?",2 cars; 81 socks; Gravity goes on vacation; Regret is not measurable,2 cars,0.05
87,"If the Earth took a coffee break for 2 hours, what would happen to gravity?",1 cars; 57 socks; Gravity goes on vacation; Regret is not measurable,Gravity goes on vacation,0.25
88,"If I put 4 socks in the dryer and only 15 come out, how many socks are lost in Narnia?",5 cars; 97 socks; Gravity goes on vacation; Regret is not measurable,97 socks,0.333
88,"If I order 10 pizzas and eat half of one, how many pizzas do I have left (not counting regret)?",2 cars; 90 socks; Gravity goes on vacation; Regret is not measurable,2 cars,1.0
88,"If I go to the mall with $9 to buy a car that costs $19, how many cars do I come back with?",5 cars; 22 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,0.333
89,"If I put 4 socks in the dryer and only 5 come out, how many socks are lost in Narnia?",0 cars; 24 socks; Gravity goes on vacation; Regret is not measurable,Gravity goes on vacation,0.5
89,"If I go to the mall with $1 to buy a car that costs $18, how many cars do I come back with?",5 cars; 11 socks; Gravity goes on vacation; Regret is not measurable,5 cars,0.333
89,"If I order 9 pizzas and eat half of one, how many pizzas do I have left (not counting regret)?",5 cars; 28 socks; Gravity goes on vacation; Regret is not measurable,Gravity goes on vacation,0.05
90,"In 1464, something very important happened. How many of us remember it correctly?",0 cars; 58 socks; Gravity goes on vacation; Regret is not measurable,Gravity goes on vacation,0.05
90,"If the Earth took a coffee break for 5 hours, what would happen to gravity?",2 cars; 24 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,0.333
90,"In 1717, something very important happened. How many of us remember it correctly?",5 cars; 22 socks; Gravity goes on vacation; Regret is not measurable,Regret is not measurable,0.333
